title,url,image,price,originalPrice,discountPercent,rating,reviewCount,soldCount,location,category,marketplace,affiliateUrl,notes
Kaos Kaki Anak Sekolah Pendek SD SMP SMA,https://shopee.co.id/Kaos-Kaki-Anak-Sekolah-Pendek-SD-SMP-SMA-i.1146697190.21787117322,https://down-id.img.susercontent.com/file/id-11134207-822wh-mlhrnwluqmtk85@resize_w450_nl.webp,5000,25000,,4.8,6500,10000,,Fashion,shopee,,
Kaos Kaki Sekolah Hitam Putih SD SMP SMA - Sikatun School Socks,https://shopee.co.id/Kaos-Kaki-Sekolah-Hitam-Putih-SD-SMP-SMA-Sikatun-School-Socks-i.9094798.17824048518,https://down-id.img.susercontent.com/file/c6e3eac7dd0280c818d54acbde92b755.webp,8500,25000,,4.8,15500,10000,,Fashion,shopee,,
ZEBALTA - Kaos Kaki Anak Sekolah Sd Smp Sma,https://shopee.co.id/ZEBALTA-Kaos-Kaki-Anak-Sekolah-Sd-Smp-Sma-i.926812753.20172858638,https://down-id.img.susercontent.com/file/id-11134207-822wr-mmr6mhnhnw8y39@resize_w450_nl.webp,5000,25000,,4.8,10200,10000,,Fashion,shopee,,
"Sikatun School Socks - Primary (Best Value) - Kaos Kaki Sekolah Sd Smp Sma Telapak Hitam, Hitam & Putih Polos",https://shopee.co.id/Sikatun-School-Socks-Primary-(Best-Value)-Kaos-Kaki-Sekolah-Sd-Smp-Sma-Telapak-Hitam-Hitam-Putih-Polos-i.976961832.22835757700,https://down-id.img.susercontent.com/file/id-11134207-822wp-mpu6sxrf5ybzbe@resize_w450_nl.webp,8500,25000,,4.8,6700,10000,,Fashion,shopee,,
"KAOS KAKI SEKOLAH SD / SMP / SMA (kaos kaki pramuka, kaos kaki hitam, kaos kaki putih)",https://shopee.co.id/KAOS-KAKI-SEKOLAH-SD-SMP-SMA-(kaos-kaki-pramuka-kaos-kaki-hitam-kaos-kaki-putih)-i.211945108.4632262949,https://down-id.img.susercontent.com/file/id-11134207-822wt-mn3t7pm568zp45@resize_w450_nl.webp,5690,25000,,4.8,25000,10000,,Fashion,shopee,,
Kaos Kaki Sekolah SD SMP SMA Spandex Polister Termurah,https://shopee.co.id/Kaos-Kaki-Sekolah-SD-SMP-SMA-Spandex-Polister-Termurah-i.377720327.26259053320,https://down-id.img.susercontent.com/file/id-11134207-81ztl-menpnj5qu7lt79@resize_w450_nl.webp,7399,25000,,4.8,6500,10000,,Fashion,shopee,,
(school) kaos kaki sekolah putih hitam putih pramuka sd smp sma,https://shopee.co.id/(school)-kaos-kaki-sekolah-putih-hitam-putih-pramuka-sd-smp-sma-i.784773268.19516761627,https://down-id.img.susercontent.com/file/4b83013564891e51fba2d20a571566a1@resize_w450_nl.webp,5999,25000,,4.8,6500,10000,,Fashion,shopee,,
Kaos Kaki Sekolah SD SMP SMA Unisex – Hitam Putih | Kaos Kaki Pramuka Panjang Tebal Nyaman,https://shopee.co.id/Kaos-Kaki-Sekolah-SD-SMP-SMA-Unisex-–-Hitam-Putih-Kaos-Kaki-Pramuka-Panjang-Tebal-Nyaman-i.10396622.3133787234,https://down-id.img.susercontent.com/file/id-11134207-7qukw-lh2tub1lz36i07@resize_w450_nl.webp,4489,25000,,4.8,6500,10000,,Fashion,shopee,,
6 PASANG KAOS KAKI SEKOLAH SD SMP SMA PUTIH/HITAM TERMURAH,https://shopee.co.id/6-PASANG-KAOS-KAKI-SEKOLAH-SD-SMP-SMA-PUTIH-HITAM-TERMURAH-i.369868902.26773482736,https://down-id.img.susercontent.com/file/id-11134207-7rase-m4zij2uqrhfqa7@resize_w450_nl.webp,14850,25000,,4.8,6500,10000,,Fashion,shopee,,
6 pasang kaos kaki sekolah SD SMP SMA putih telapak hitam pendek,https://shopee.co.id/6-pasang-kaos-kaki-sekolah-SD-SMP-SMA-putih-telapak-hitam-pendek-i.1358727491.27511389131,https://down-id.img.susercontent.com/file/id-11134207-7r98x-m079vtnhtj7ib4@resize_w450_nl.webp,23700,25000,,4.8,6500,10000,,Fashion,shopee,,
Kaos Kaki Sekolah Pendek Putih Telapak Hitam Polister Ukuran Sd Smp Sma,https://shopee.co.id/Kaos-Kaki-Sekolah-Pendek-Putih-Telapak-Hitam-Polister-Ukuran-Sd-Smp-Sma-i.171264313.25926990982,https://down-id.img.susercontent.com/file/id-11134207-7r98t-lulxt5880eq2d8@resize_w450_nl.webp,8400,25000,,4.8,6500,10000,,Fashion,shopee,,
